id	count
0	0
1	18
2	6
3	0
4	17
5	21
6	288
7	0
8	24
9	18
10	6
11	35
12	141
13	138
14	0
15	0
16	0
17	206
18	70
19	8
20	2
21	28
22	121
23	0
24	51
25	41
26	102
27	25
28	20
29	75
30	0
31	11
32	19
33	0
34	56
35	10
36	137
37	64
38	0
39	73
40	25
41	25
42	98
43	0
44	9
45	56
46	1
47	89
48	135
49	6
50	0
51	49
52	0
53	14
54	0
55	21
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
