id	count
0	0
1	99
2	23
3	0
4	49
5	46
6	131
7	0
8	58
9	29
10	9
11	3
12	192
13	132
14	0
15	6
16	26
17	117
18	92
19	34
20	57
21	55
22	80
23	16
24	34
25	28
26	97
27	33
28	33
29	67
30	22
31	22
32	17
33	12
34	37
35	16
36	89
37	87
38	14
39	159
40	46
41	49
42	126
43	0
44	0
45	82
46	20
47	93
48	255
49	41
50	9
51	67
52	0
53	48
54	29
55	80
56	14
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
