id	count
0	0
1	25
2	8
3	0
4	9
5	18
6	30
7	0
8	12
9	5
10	0
11	1
12	51
13	45
14	0
15	3
16	9
17	29
18	14
19	4
20	11
21	14
22	30
23	3
24	4
25	4
26	23
27	10
28	8
29	12
30	7
31	5
32	5
33	1
34	1
35	3
36	13
37	23
38	3
39	30
40	16
41	11
42	24
43	0
44	0
45	27
46	5
47	26
48	82
49	8
50	0
51	16
52	0
53	15
54	4
55	13
56	1
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
