id	count
0	1
1	80
2	31
3	0
4	79
5	58
6	258
7	0
8	75
9	34
10	9
11	7
12	267
13	184
14	0
15	3
16	19
17	116
18	104
19	27
20	25
21	105
22	96
23	33
24	73
25	23
26	107
27	48
28	46
29	106
30	22
31	14
32	68
33	29
34	60
35	38
36	119
37	132
38	12
39	156
40	53
41	79
42	166
43	0
44	10
45	93
46	19
47	113
48	369
49	39
50	9
51	107
52	0
53	92
54	27
55	70
56	9
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
